,Base Name,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles,Day,Datetime
198,JUNO,2019,7,July,657929,0,19176,1,2019-07-01
199,VIA,2019,7,July,919798,566638,6787,1,2019-07-01
200,UBER,2019,8,August,13925893,1484807,73692,1,2019-08-01
201,LYFT,2019,8,August,4698486,1241250,48556,1,2019-08-01
202,JUNO,2019,8,August,619646,0,17968,1,2019-08-01
203,VIA,2019,8,August,881654,530235,5850,1,2019-08-01
204,UBER,2019,9,September,13964765,1428238,73065,1,2019-09-01
205,LYFT,2019,9,September,4611514,1258443,48447,1,2019-09-01
206,JUNO,2019,9,September,625981,0,17735,1,2019-09-01
207,VIA,2019,9,September,866974,548812,5761,1,2019-09-01
208,UBER,2019,10,October,14509882,1275611,72581,1,2019-10-01
209,LYFT,2019,10,October,5346314,1489520,47217,1,2019-10-01
210,JUNO,2019,10,October,407494,0,16996,1,2019-10-01
211,VIA,2019,10,October,898587,572837,5714,1,2019-10-01
212,UBER,2019,11,November,15610941,1156047,71965,1,2019-11-01
213,LYFT,2019,11,November,5144737,1464222,44804,1,2019-11-01
214,JUNO,2019,11,November,105879,0,12940,1,2019-11-01
215,VIA,2019,11,November,773951,481884,4925,1,2019-11-01
216,UBER,2019,12,December,16105602,1045262,71488,1,2019-12-01
217,LYFT,2019,12,December,5430612,1417280,45310,1,2019-12-01
218,VIA,2019,12,December,707565,433525,4470,1,2019-12-01
219,UBER,2020,1,January,14582520,1047433,70090,1,2020-01-01
220,LYFT,2020,1,January,5274248,1319840,44285,1,2020-01-01
221,VIA,2020,1,January,712600,440073,4926,1,2020-01-01
222,UBER,2020,2,February,15743610,1102264,68841,1,2020-02-01
223,LYFT,2020,2,February,5339549,1295327,43192,1,2020-02-01
224,VIA,2020,2,February,641941,418833,3942,1,2020-02-01
225,UBER,2020,3,March,9836781,527848,66472,1,2020-03-01
226,LYFT,2020,3,March,3219541,557289,40329,1,2020-03-01
227,VIA,2020,3,March,336606,187444,3490,1,2020-03-01
228,UBER,2020,4,April,3102835,0,19449,1,2020-04-01
229,LYFT,2020,4,April,1144083,0,11666,1,2020-04-01
230,VIA,2020,4,April,65991,0,959,1,2020-04-01
